class,texto_llm,prediccion,prob_anorexia
control,lentejas de mi madre con almendra molida el dinosaurio tambiÃ©n quiere . . . hoycomemos tupper lentejasconverduras almendras er instafood instanutrition,control,0.25
control,hoy cenamos tostadas de aguacate con huevo pochado foodie foodporn yummy healthyfood lifestyle bloggerspain aguacate instamood,control,0.25
control,"mejora tu entrenamiento y llÃ©valo al mÃ¡ximo nivel con nexa. sin duda, una autÃ©ntica revoluciÃ³n en el mundo del . compruÃ©balo en y descubre todo lo que te ofrece esta mÃ¡quina pionera en el mundo. nexarevolution",control,0.05
anorexia,lo que me alimenta me destruye.anorexia bulimia,anorexia,0.95
control,Â¡hoy me he levantado con ganas de currarme el desayuno! . . . buenosdÃ­as goodmorning reto1mesconcomidareal cafÃ© coffee pandeespelta aguacate avocado,control,0.25
anorexia,"una vez que las conoces, nunca mÃ¡s te librarÃ¡s de ellas, te perseguirÃ¡n para toda la vida",anorexia,0.85
anorexia,cuanto mas estas en casa te desesperas por comer y paff acudes a mia por culpabilidad,anorexia,0.85
anorexia,pides poca comida y dejas mas de la mitad,anorexia,0.85
control,recuerda... resistir y nunca desistir . . . . . fit cuerposano vidasana comienzos resultados esfuerzo. diferencia life gym gymmotivation gymnastics gympic cambios cuerpo model fit realidad likeforlikes working,control,0.25
anorexia,amo mis ojeras son tan asdgfjhljs3 anamiasuicidalcut,anorexia,0.95
control,"si os gustan los callos, durante el mes de noviembre tenemos un menÃº muy tentador casera tradicion madridrio",control,0.25
anorexia,siento que engordo 50kg cada vez que como bulimia bulimic bulimicgirl anorexia anorexiaeetclub anorexic proana promia tca ed bulimianervosa,anorexia,0.85
control,"hoy te dejo la receta de unas patatas rellenas, ideales para combatir ese frÃ­o intenso que anuncian para el fin de semana. saca la cuchara y a comer!!! patatasrellenasdecarneguisada patatasrellenas realfooding recetaspiruletas",control,0.25
control,los frutos secos proveen una gran variedad de nutrientes que debes agregar a tus comidas. salud,control,0.25
anorexia,bajas la comida antes de habÃ©rtela comido,anorexia,0.85
anorexia,"cada fin de semana me miro al espejo y me siento peor, alguien costure mi boca espejo boca findesemana",anorexia,0.85
anorexia,esto es tan perfecto . thinspo,anorexia,0.85
anorexia,no se como decirle a mis padres para que me dejen de obligar a que coma princesasanaymia anorexia cut,anorexia,0.95
anorexia,esa maldita obsesion por mejorar mi figura...,anorexia,0.85
anorexia,que obsesiÃ³n con las manos delgadas anaymialifestyle anaymiaforeverfriends anaymiaarequeen anaymiaporsiempre anaymiatips thinsp0 collarbones thighgaps skinny diet,anorexia,0.95
anorexia,"esas piernas son lo que mas deseo en esta vida, si es que todavia tengo vida thinspo proana thinspiration",anorexia,0.85
anorexia,"el ayuno fue un fracaso, maÃ±ana intentarÃ© una dieta que consiste en comer pepino sin mÃ¡s. forever rexybill",anorexia,0.85
control,un aÃ±o que cerramos cargado de buenos deseos y grandes retos cumplidos superando anorexia bulimia,anorexia,0.85
anorexia,necesito dejar de estar gorda proana promia anorexia bulimia bulimicgirl tca ed anorexiaeetclub bulimic,anorexia,0.85
control,"solo en parcela 70, disfrutaras de exquisitos platillos , Ãºnicos y originales, para compartir con tus seres queridos. visita nuestro sitio web. comidagourmet restaurantemexicanovalledeguadalupe viÃ±edosmexicanos",control,0.05
anorexia,comprÃ© una botella de agua y chicles para sobrevivir. team,control,0.25
control,entrenamiento de pierna con adryvargas deporte deporteesvida deporteysalud coach lifestyle workout vidasaludable training entrenamiento workout visitandoando,control,0.25
control,cuando improvisas y queda rico comerconciente ing nutricion perdergrasa healthy eatclean saludable,anorexia,0.25
control,no os imaginais lo buenÃ­simo que estÃ¡ esto!!! y es que me acabo de despertar de una siesta que habÃ­a dicho que no me iba a hechar con un hambre terrible y esto me estaba esperando ...er dulcesaludable sinazucar,anorexia,0.85
anorexia,no salÃ­ a comer porque todos sabemos que el ruido del estÃ³mago son aplausos y no hambre.,anorexia,0.85
control,a comer! panza llena de fibra y antioxidantes tortilla de brÃ³coli omega3 saludable nutricion perdergrasa perderpeso comidasana eatclean eatingclean,anorexia,0.85
anorexia,octavo dÃ­a de ayuno en marcha. rexybill,anorexia,0.85
control,"en la dietamediterrÃ¡nea, las legumbres, verduras y hortalizas estÃ¡n en la base, por eso nos encanta esta receta de lentejas salteadas al curry ideal para el verano mejor con",control,0.25
control,"chuleta de cerdo al horno sobre cama de ensalada surtida espinacas, tomates, brÃ³coli, brotes de soya toque de vinagreta en base a la mayonesa casera...ya tÃº saes lowcarbchile keto lchf lchp",control,0.25
control,intentando comer cada dÃ­a mejor,control,0.25
anorexia,omg!!!!! llevo una semana en ayuno y me siento mareado y algo mal no se que hacer solo no quiero comerrrrrrr!,anorexia,0.95
control,"cÃ³mo conseguir un ejercicio intenso para el glÃºteo en cualquier parte y sin carga adicional la calistenia estimula la creatividad y los recursos aparecen. sencillo, Ãºtil, eficiente glÃºteos outdoor",control,0.25
anorexia,ser bonita no es copiarte a es quererse saludablemente y ser flaca solo es un protipo para las de baja autoestima,control,0.25
control,whatsapp el nuevo escondite para las comunidades de anorexia bulimia,anorexia,0.85
anorexia,quisiera tener un cuerpo como este,anorexia,0.85
control,"desayuno de martes, lo que bien empieza bien acaba adelgazar lowcarbdiet alimentacionsaludable ing comidadeverdad",anorexia,0.85
anorexia,"quiero, necesito, deseo y sÃ© que puedo. thinspiration",anorexia,0.85
control,por un domingo saludable! nutricion comersaludable motivacion nutricionistas healthy medicina,control,0.050000000000000044
anorexia,no es malo ayunar 20 dias al mes ... ya que no son dias continuos y no estas bomitando,control,0.15000000000000002
control,"cookies de avena, banana o plÃ¡tano y cacao sÃºper sanas y facilÃ­simos de hacer siguiendo la receta paso a paso que tienes aquÃ­ nota cuanto mÃ¡s finitas las haces mÃ¡s crocantes healthyfood comidasana sanoynatural",control,0.25
anorexia,cuanto pesan ustedes yo 29,control,0.2
control,"queremos salir de lo comÃºn y crear nuestro propio estilo, pues sabemos que a las mujeres nos encanta sentirnos Ãºnicas. gigitrajedebaÃ±o gigisport runing gym deporte crossfit vidafit zumba ropadeportiva licra top sancristÃ³bal venezuela cÃºcuta colombia 21mar",control,0.25
control,llegar reciÃ©n a la casa y que te echen la culpa de todo lo malo que le pasÃ³ a tu mamÃ¡ que linda vida. sadislife sueycat,anorexia,0.85
control,"Â¿que esto es moda ?no, esto es una enfermedad, un grave trastorno alimenticio, no un simple juegoÂ¿verdad ?",anorexia,0.85
anorexia,"y lo mejor de todo es que me siento muy motivada, porque entendÃ­ el asco que me genera la comida y ya todo es mÃ¡s fÃ¡cil ana mia anorexia bulimia proana promia ed tca",anorexia,0.95
anorexia,quiero el metabolismo de esa gente flaca que come y no engorda ana mia anorexia proana promia,anorexia,0.85
control,Â¿cÃ³mo podemos detectar los grupos de whatsapp que alientan y alimentan a la comunidad de ana y mia? anorexia bulimia,anorexia,0.85
control,el peor error que puedes cometer en tu vida es no intentar. da el primer paso y descubre de lo que eres capaz. gymjuiceyoga cdmx gymjuiceyoga gym gimnasio entrenamiento training competencia equipo pasiÃ³n teamwork picoftheday motivaciÃ³n frasedeldÃ­a,control,0.25
anorexia,"cÃ³mo bajar 20 kg antes de navidad, cuando dejando de comer ni es suficiente? yahoo respuestas ana mia proana promia",anorexia,0.85
control,bajardepeso los mejores deportes para liberarte del estrÃ©s deja la ansiedad en el trabajo,control,0.25
control,Â¿sadorexia? las pautas culturales globalizadas han determinado que ser delgada y joven es sinÃ³nimo de...,anorexia,0.85
control,no te contaron mal... music sport style gym gymmotivation motivation glitter shine,control,0.05
anorexia,tres putos kilos que tengo que bajar otra vez bulimia bulimianervosa bulimic bulimicgirl anorexia anorexiaeetclub anorexiarecovery anorexic fat gordas proana promia tca,anorexia,0.85
control,nuevo sistema de clasificaciÃ³n para juegos olÃ­mpicos tokio 2020,control,0.0
control,limonada de sandÃ­a hoy estoy motivada cuÃ­date,control,0.25
control,pon un aguacate en tu vida menosaguacate ymasgambitas,control,0.25
anorexia,sentirme bien o mal no puede estar condicionado por mi bÃ¡scula o mi talla anorexia bulimia dietas,anorexia,0.95
anorexia,la comida te lleva hasta el final luego te preguntas xq lo hiciste xq comiste. anorexia gordas feas,anorexia,0.85
control,mi dÃ­a de ayer sin azÃºcares aÃ±adidos sinazucar,anorexia,0.85
control,"Â¿comenzamos el otoÃ±o cuidando nuestro cuerpo y nuestra salud? busca un fitness global, el cuerpo humano necesita fuerza, potencia, agilidad, resistencia, coordinaciÃ³n, etc, no un fitness especializado. er lifestyle estilodevida puravida",control,0.25
anorexia,"necesito bajar, pero tengomiedo anorexia help gorda",anorexia,0.85
anorexia,comÃ­ tres medialunas a la maÃ±ana y no me decido si vomitarlas o no almorzar. amarlas,anorexia,0.85
anorexia,"me voy a dormir , si tami se durmio esta vida no tiene sentido putabida suicide cortarse arrhe enfermo",anorexia,0.95
control,"no dejes de comer legumbres en primavera elemento bÃ¡sico en tu dieta elperdigÃ³n selecciona las mejores legumbres, con el mejor calibre y cochura para que a tu cocina llegue la mejor calidad y todo el sabor legumbres",control,0.25
control,deporte batidos saludables a base de superalimentos,control,0.25
anorexia,comenzarÃ© con consejos para bajar de peso. son muy efectivos si los siguen al pie de la letra.,anorexia,0.85
anorexia,desayuno 1 vaso grande de agua yogur natural 125g con una pizca de cereal por encima 20g 1 naranja ana mia dieta,anorexia,0.85
control,"date un capricho en el acebuche, pues tenemos para ti anchoas del cantÃ¡brico 00, jamÃ³njamÃ³n, quesos de la sierra de cadiz y un gran abanico de manjares para sentirte como un seÃ±or o seÃ±ora este domingo. reservas al 856 13 63 10. . . . restaurante gastronomia",control,0.25
control,que se note que es viernes. . . . vibrantcolors thefeedfeed chickenthighs pouletroti homemadefood foodporn foodpics cleaneating sweetpotato boniato,control,0.25
anorexia,"puta vida injusta, me toca comer ni un cerdo este fin de semana, mierda quiero morirme, puto fin de semana familiar. rexybill",anorexia,0.85
anorexia,mas perfecta? no creo. thinspo proana promia,anorexia,0.85
control,Â¿es verdad que al zumo de naranja se le van las vitaminas? nutricion salud,control,0.25
control,"chica del anuncio apoyo a, pero te informo de que el mercado del amor estÃ¡ fatal. la prÃ³xima vez que el guaperas te ofrezca, ofrÃ©cele tÃº la es probable que no la acepte, pero al menos no cierras la puerta sanvalentin2019",anorexia,0.85
anorexia,pinches locas. apoco no se les antoja unos tacos o una hamburguesa o cosas asÃ­ deliciosas grasosas ajajaja vayan a vomitar corran!,anorexia,0.85
control,trabajando en una nueva versiÃ³n en mi mismo. fitnessmotivation addict,control,0.25
control,"una pausa a mediodÃ­a? quedamos y tomamos un vino! elige un ramÃ³n bilbao reserva. elaborado con los mejores racimos de tempranillo, mazuelo y graciano. ahora disponible por copas. 2.90eur cafÃ©Ã¡gora leonesp burguer slowfood healthy menu gourmet",control,0.25
anorexia,"me doy asco con sÃ³lo mirarme al espejo, parece que cada segundo que paso frente a Ã©l es un kilo mÃ¡s.",anorexia,0.95
control,"no es una cuestiÃ³n de dinero ni de bios ni de productos raros, es comer mÃ¡s vegetales, frutas, legumbres, etc. y menos ultraprocesados. y por Ãºltimo, todos estamos a tiempo de cambiar hÃ¡bitos que nos harÃ¡n tener una mayor calidad de vida.",control,0.050000000000000044
control,"la lucha contra la apologÃ­a de la anorexia y la bulimia en internet, cuestiÃ³n de voluntarismo.",anorexia,0.85
anorexia,odio no tener el control... ana mia,anorexia,0.85
anorexia,nunca he sido fan de ...si lo he hecho pero me da mucha hueva tener que dar tantas explicaciones... por eso sigo siendo una gorda.,anorexia,0.25
control,"los hombres tienen el gran beneficio de bajar de peso mÃ¡s rÃ¡pido que las mujeres , esto se debe a que tiene un metabolismo mÃ¡s acelerado, pueden seguir con facilidad la dieta y tiene un nivel de masa corporal mÃ¡s alto . men healthy peso diet",anorexia,0.85
control,cenas sencillas... a veces menos es mÃ¡s er ing,anorexia,0.85
anorexia,y bueno esas son mis gordas piernas fat,anorexia,0.85
anorexia,alguien que quiera acompaÃ±arme a ayudar 4 dÃ­as,control,0.25
anorexia,"que tu mama te diga que estas gorda, ese es el comienzo de todo esto. laodio",anorexia,0.85
control,vivir sin miedos y sin limites dÃ­melo deportivo casual nyfw newyorkfashionweek fgnywf jda estilo tendencias color estampados boy men girl discapacidad,control,0.25
anorexia,"despues de las 7 nada debe entrar en la boca, solo que sea agua o te sin azucar",anorexia,0.85
anorexia,"mis amigas no me ignoran,no mienten,me aconsejan y me recuerdan mis errores y metas porque quieren que sea una princesa como ellas.",control,0.25
anorexia,hoy he comido mÃ¡s que un cerdo anorexic bulimic bulimicgirl,anorexia,0.95
anorexia,"no lo soy, pero respeto a ana y a mia para algunos son ejemplos a seguir y eso lo respeto respeto",control,0.25
anorexia,ese momento en que la mente traiciona y te hace sentir el niÃ±ito mas deshidratado y raquÃ­tico de Ã¡frica... pero te recuerdo algo baby. no lo eres. coldprince,anorexia,0.85
control,"si no arriesgas nada, lo arriesgas todo crossfit coach crossfitgames crossfitter entreno atlethe train work workout training strict athlete fit fitinspiration coreperformance strong gym box muscle bodybuilding sport lifestyle arroyomolinos",control,0.25
control,feliz solsticio de invierno. bolitas de atÃºn y queso con pistachos. acomer canapÃ© foodporn nikond3400 nikon foodphotography photography en andalusia,control,0.25
anorexia,"chicas la semana de la moda en new york, ya tienen a sus nuevos thinspos ?",control,0.25
control,quieres mejorar tu forma fÃ­sica? en nuestro centro te proporcionamos ejercicios personalizados con los mejore monitores! pilates pilatessevilla pilatesstudio pilatesparatodos ponteenforma entrenamiento core pilatesmaquinas pilatesoriginal sevilla mairena trx,control,0.05
control,mi suegra intentando convencerme de que tomar azÃºcar es bueno... no serÃ© yo quien la saque de matrix sugarfree,anorexia,0.85
anorexia,cuarto dia de ayuno dale que se puede!!!!!,anorexia,0.85
anorexia,el dÃ­a que consiga ser la princesa que quiero ser subirÃ© una foto de mi cuerpo para agradecer a lo que hacen por mÃ­,anorexia,0.85
control,"mejor que querer, es hacer nunca dejes de correr si se puede runningteamsuperacion salud healthylifestyle healthyfood ejercicios motivation yoelegicorrer runningteamsuperacion gabrielhugovilella personaltrainer iloverunn runhappy",control,0.25
anorexia,en un ayuno no hay que estar sola,control,0.25
anorexia,"hola, a todas las que me siguen y a las q no igual holaaaaa... me veo aqui de nuevo como una cerda de gorda y arrepentida",anorexia,0.85
anorexia,"vetÃ© a la verga andrea, no es mi culpa que a mi no afecte cenar y tu tengas que vomitar",anorexia,0.85
anorexia,momento en el que te duele el cuerpo y solo sientes satisfacciÃ³n de haber logrado un dÃ­a mas... anorexic bullimic proana promia princesa tca,anorexia,0.95
control,la realidad detrÃ¡s de una de las mejores proteÃ­nas atÃºn cocinafacil comersano healthyfood foodporn food foodie foodgasm cdmx mexico elhornodelucas lovecooking instafood recetasrapidas recipe recipes recetas,control,0.25
control,molestes preparados para desayunos ricosanosaludablecomersano comerbien,anorexia,0.85
control,es imposible moderarse cuando los productos estÃ¡n especialmente diseÃ±ados para no poder dejar de consumirlos. las seÃ±ales hormonales son mÃ¡s fuertes que la voluntad. son droga y el 1er paso es la desintoxicaciÃ³n. processed foods and food reward,anorexia,0.85
control,"disfruta el suave sabor de este pollito de leche en salsa de cacahuate, platillo sÃºper fÃ¡cil de hacer cocinafacil comersano healthyfood foodporn food foodie foodgasm cdmx mexico elhornodelucas lovecooking instafood recetasrapidas",control,0.05
anorexia,"hola linda gente, les doy la invitaciÃ³n de unirse a un grupo de whatsapp de ana y mÃ­a, asÃ­ para compartir logros y apoyarnos entre nosotras sÃ­ la personita que guste deje su nÃºmero en los comentarios o en privado. gracias por leer",control,0.2
anorexia,mira que hermosos son sus huesos tan perfectos como ellas thinspo thinspiration thin,anorexia,0.85
control,lastimoso que sigamos presionandÃ³nos como mujeres a vernos perfectas y cero reales,control,0.25
anorexia,si sigo haciendo este ejercicio y comiendo menos de 800kcal para aÃ±o nuevo voy a bajar un montÃ³n ana mia anorexia bulimia proana promia ed,anorexia,0.85
control,yellow monday lunes amarillo en cafi carrera 24 entre calles 29 y 30 si entrenas es bueno pero si te diviertes entrenando es mejor gymsalud gym salud gimnasiogimnasios en,control,0.25
control,las mejores opciones de snacks para los pequeÃ±os de la casa cocinafacil comersano healthyfood foodporn food foodie foodgasm elhornodelucas lovecooking instafood recetasrapidas recipe recipes recetas comidamexicana mexicanfood,control,0.25
anorexia,esto no es un juego. pero llevo tanto tiempo asi y no veo diferencia me quiero morir,anorexia,0.85
control,que difÃ­cil no comer fruta cuando la tienes preparada y lista para consumir . . . comefruta fruitlover fruit instafood instafruit fruitadict instanutrition er,anorexia,0.85
anorexia,siento que cada dÃ­a que pasa esto me consume mÃ¡s y lo peor es que no quiero ni puedo parar. rexybill mindfuck,anorexia,0.85
anorexia,la sensaciÃ³n de mareo cuando estas haciendo gym es lo mÃ¡s satisfactorio que hay. anorexia bulimia,anorexia,0.95
anorexia,Â¿como te atreves a decir que estas bien con lagrimas en los ojos y sangre en las muÃ±ecas? ihateme,anorexia,0.85
anorexia,querida princess. si no te deja en paz es porque tiene hambre y desea devorarte para estar satisfecha Â¡pero vos sos mÃ¡s fuerte! 3,anorexia,0.85
anorexia,secretos si me preguntas xq lo hago nose! si entenderas el placer q siento al ver la sangre correr,anorexia,0.85
control,caminar maÃ±ana de cardio cardioworkout senderismo instagood domingo amigos girl ruta descenso love avistamiento fruta nature photooftheday,control,0.05
anorexia,estÃºpida gordura que me cargo. yabasta perfecciÃ³n,anorexia,0.85
anorexia,"ayuda... alguien por favor, hÃ¡blame... ayÃºdame a cambiar... a dejar de ser estÃ¡ bola de grasa... por favor...",anorexia,0.85
control,"no dejes que tu mente controle tu cuerpo. hacer ejercicio no es moda, es quererte a ti mismo. . . . ejercicio gym workout miami, florida",control,0.25
control,hoy en nuestro face hablamos de las pÃ¡ginas proana y promia anorexia bulimia elche,anorexia,0.85
control,la fruta es arte... hoy y el prÃ³ximo viernes dÃ­a 1 habrÃ¡ un tallador de frutas en nuestro mercado. mercadodechamberi chamberi madrid healthyfood healthy ing fruta arte artfruit,control,0.25
anorexia,yo se que puedo... no nesesito de la comida para vivir si tengo la felicidad de estar bajando de peso,anorexia,0.85
anorexia,hoy comÃ­ mucho. quiero vomitar. vivalabulimia,anorexia,0.95
anorexia,"parece que los que no pueden dejar de insultar a ana y mÃ­a, no tienen vida. proana promia asco",anorexia,0.95
anorexia,tip pro si comes naranja antes de ingerir comida vomitas mas y mas rapido!! d informacionquecura,anorexia,0.95
anorexia,"me he vuelto a pesar despuÃ©s de taaanto tiempo y subÃ­ 10 kg. intentÃ© mantenerme alejada de esto, ya que estuve perdiendo mi pelo",anorexia,0.85
anorexia,solo quiero correr y correr tan lejos dond este sola y no importe mi reflejo pero se q stoy realmente jodida y jamas escapare de ti,anorexia,0.85
control,"y entonces, cuando estÃ©s enamorado de ti mismo, vas a poder ser feliz y te enamorarÃ¡s de alguien. camiseta divinamente espalda yoga modamujer ropa ropamujer taichi salud saludoalsol vida frases girl madrid madridyoga amor amorpropio deporte",control,0.05
control,"pollo con cerveza, setas, verduritas y tomillo es la cazuelita que hacÃ­a chupchup el otro dÃ­a y nos lo hemos comido hoy . Â¡no ha sobrado nada! subirÃ© la receta al blog en breve Â¿la quieres? si o si? . chupchupchup comidasana comerbien",control,0.25
control,buen dia! nuestro cuerpo merece el mejor trato.compromiso asumido eatfresh eggs omega3 healthy healthyfood ing saludable nutricion aguacate,control,0.25
control,"comer es una necesidad, pero comer de forma inteligente es un arte franÃ§ois de la rochefoucauld, escritor y aristÃ³crata por eso escogemos el producto mÃ¡s fresco y lo cocinamos de la mejor manera para que disfrutes del buen comer. zamora comerbien felizsabado",control,0.25
anorexia,no entendÃ­a porque me sentÃ­a tan mal hasta que recordÃ© que lo Ãºltimo solido que comÃ­ fue a las 10 de la maÃ±ana.,anorexia,0.85
anorexia,delgadez mÃ¡xima ven a mi!!!!,anorexia,0.85
anorexia,hoy harÃ© ayuno ayuno ana mia alisa princesa perfeccion,anorexia,0.85
control,el mejor calentamiento antes de un entrenamiento de pierna xd legday motivation diet salud eatclean exercise fitlife fit training bodybuilder,control,0.25
anorexia,"ser flaca, ser perfecta!",anorexia,0.85
control,no sirve de nada que sean si me las como todas de una sentada,anorexia,0.85
control,la cantidad de comida que debemos ingerir para mantener un peso saludable es algo que preocupa a muchas personas ing comida saludable healthy felizlunes comer calorias dietasaludable nutricion articulo,control,0.25
anorexia,casi siempre que me baja la regla estoy mÃ¡s dÃ©bil que una hoja y vomito aÃºn sin comer nada tips,anorexia,0.95
control,siempre tendrÃ¡s una excusa. trata de sacarla de tu cabeza y arriÃ©sgate a empezar tu nueva vida. te esperamos. . . somos monkeybusinessxfit crossfit guayaquil ecuador,anorexia,0.85
anorexia,eres lo que comes. instachile l4l f4f barbiedoll skinny celine redhair,anorexia,0.85
anorexia,me siento estÃºpida con la comida no quiero... pero de bo hacerlo si no mi madre sospechara de nuevo...,anorexia,0.85
control,"a 2 carnes hoy cerdo y pollo al horno guarniciÃ³n de champiÃ±ones salteados en mantequilla junto a berros y diente de dragÃ³n. y... obviamente, mayonesa casera hecha con aceite pepita de uva lowcarbchile keto lchf lchp",control,0.25
control,algo anda mal aquÃ­? josepika vidasanayactiva,anorexia,0.85
anorexia,"os cuento que me encuentro estancada, no puedo parar de comer, no se a donde se ha ido mi autocontrol, ya me quiero morir si alguien se apunta a hacer alguna dieta conmigo, hablenme anorexic bulimic fat gorda proana thinspo thinspiration",anorexia,0.95
anorexia,"felizsabado chicas recordad que la comida se siente bien 3 segundos, el estar delgada toda la vida animo",anorexia,0.85
anorexia,atadas a nuestro reflejo. sweetanorexia ed fucklife,anorexia,0.95
anorexia,"maÃ±ana me toca pesarme, me acojona porque puede que me tome el dÃ­a a buenas o me de por arrancar cabezas bulimia anorexia tca",anorexia,0.95
anorexia,"me comÃ­ un chicle para calmar la ansiedad, y me comÃ­ 4 galletitas de chocolate... hÃ¡blame de gorda ana mia bulimia anorexia proana promia",anorexia,0.85
control,no me detendrÃ© hasta que mis brazos parezcan piernas... vikingspirit goldenera,anorexia,0.85
anorexia,"anorexia y bulimia todas las que pasamos por esto decimos que queremos salir de la enfermedad, pero hay algo que nos lo impide en el fondo no lo deseamos, y nosotras mismas dejamos que gane el lado negativo",anorexia,0.85
anorexia,"prinzzz que se respeta, come 5 veces al dÃ­a. despuÃ©s se daÃ±a el metabolismo y engordamos y kÃ© asko. pendejas.",anorexia,0.85
anorexia,que mas perfecto que esto?c ojala algÃºn dÃ­a logre estar asÃ­ quizÃ¡s me sienta bonita delgadas flacas,anorexia,0.85
control,"es jodido crecer en youtube, pero vamos que con este tipo de cosas lo que hacen es victimizarse, la derecha es muuuuuuy llorona y por culera, no ves que tienen mazo pasta para andar con denuncias tontas? este es otro video bastante top",anorexia,0.85
control,hoy para comer... damos por inaugurada la navidad con un arroz al horno tradicional. eatclean diet fit gym sport dietista nutricionista nutricion,control,0.25
anorexia,"cuando existen las ganas, todo es posible",control,0.25
control,conoce nuestros alfas.! quienes con su espÃ­ritu y entrega te ayudarÃ¡n a lograr tus objetivos.! sisepuede 21mar emprendedores salud deporte mma fitnesdecombate caracas venezuela,control,0.25
